,Experiment,Score Type,Values
0,Boyne,P,"[0.9497369527816772, 0.8259296417236328, 0.9999998807907104, 0.7294605374336243, 0.7213501930236816]"
1,Boyne,R,"[0.9839681386947632, 0.8814894556999207, 0.9999998807907104, 0.8395466208457947, 0.8820930123329163]"
2,Boyne,F1,"[0.9665495157241821, 0.8528055548667908, 0.9999998807907104, 0.7806416153907776, 0.7936645150184631]"
3,Hastings,P,"[0.9278810620307922, 0.9245508909225464, 0.7230998277664185, 0.8315780162811279, 0.7912721633911133]"
4,Hastings,R,"[0.9743511080741882, 0.9368210434913635, 0.9005941152572632, 0.8809633851051331, 0.9563273787498474]"
5,Hastings,F1,"[0.9505484700202942, 0.9306455254554749, 0.8021455407142639, 0.8555586338043213, 0.8660053014755249]"
6,Waterloo,P,"[0.9318142533302307, 0.9065415263175964, 0.8709691166877747, 0.771682858467102, 0.8005958199501038]"
7,Waterloo,R,"[0.9694518446922302, 0.9641702771186829, 0.8705394268035889, 0.8389679193496704, 0.8919267058372498]"
8,Waterloo,F1,"[0.9502605199813843, 0.9344682693481445, 0.8707543015480042, 0.8039200305938721, 0.8437970876693726]"
9,Barbie,P,"[0.7525109648704529, 0.6951496601104736, 0.7125380039215088, 0.7187268137931824, 0.9506752490997314, 0.8870062828063965, 0.7846378684043884, 0.696419358253479, 0.8121647834777832, 0.6876296997070312]"
10,Barbie,R,"[0.847228467464447, 0.8017436861991882, 0.7616588473320007, 0.8636491894721985, 0.9732104539871216, 0.9680141806602478, 0.8543733954429626, 0.7684625387191772, 0.8389636874198914, 0.7479479312896729]"
11,Barbie,F1,"[0.7970656752586365, 0.7446513772010803, 0.736280083656311, 0.7845516204833984, 0.961810827255249, 0.9257413744926453, 0.8180221319198608, 0.730669379234314, 0.8253467082977295, 0.7165216207504272]"
12,Oppenheimer,P,"[0.7383434772491455, 0.6986778974533081, 0.7450140118598938, 0.7509559392929077, 0.6705456972122192, 0.7230030298233032, 0.7523874044418335, 0.6752481460571289, 0.6796982288360596, 0.6960583925247192]"
13,Oppenheimer,R,"[0.8235800862312317, 0.8654866218566895, 0.8705651164054871, 0.8215586543083191, 0.8030800819396973, 0.8636975884437561, 0.8820350766181946, 0.9054651260375977, 0.8361136317253113, 0.8073433041572571]"
14,Oppenheimer,F1,"[0.7786360383033752, 0.7731876969337463, 0.802911102771759, 0.7846723198890686, 0.7308530211448669, 0.7871125340461731, 0.8120691776275635, 0.7735921144485474, 0.749835729598999, 0.7475820183753967]"
